target_id	length	eff_length	est_counts	tpm
g0001.t1	1161	962	655.17	153.522
g0002.t1	2483	2284	0	0
g0002.t2	2417	2218	157.588	16.0159
g0003.t1	4457	4258	14.4119	0.762968
g0004.t1	1242	1043	71	15.3449
g0005.t1	636	437	17	8.76916
g0006.t1	4182	3983	34	1.92424
g0007.t1	1653	1454	1.03104	0.159846
g0008.t1	444	245	0	0
g0009.t1	744	545	0	0
g0010.t1	2418	2219	0	0
g0010.t2	2367	2168	17	1.76758
g0011.t1	1588	1389	0	0
g0012.t1	1981	1782	745	94.2408
g0013.t1	895	696	891	288.575
g0014.t1	6553	6354	152	5.39246
g0015.t1	3177	2978	10	0.756947
g0015.t2	3255	3056	0	0
g0015.t3	3212	3013	0	0
g0016.t1	1570	1371	0	0
g0017.t1	3001	2802	0	0
g0018.t1	417	218	77	79.6205
g0019.t1	417	218	0	0
g0020.t2	1969	1770	0	0
g0020.t1	2661	2462	54	4.9442
g0021.t1	1690	1491	170	25.7017
g0022.t1	1170	971	213	49.4482
g0023.t1	2373	2174	1	0.103689
g0024.t1	3304	3105	0	0
g0024.t2	3136	2937	0	0
g0024.t3	2912	2713	550.823	45.767
g0025.t1	3781	3582	109.177	6.87063
g0026.t1	4960	4761	39	1.84653
g0027.t1	462	263	0	0
g0028.t2	1485	1286	0	0
g0028.t1	1485	1286	0	0
g0029.t1	1737	1538	1	0.146566
g0030.t1	1018	819	412	113.398
g0031.t1	1632	1433	41.5362	6.53388
g0031.t2	1563	1364	1156.46	191.121
g0032.t1	1840	1641	0	0
g0033.t1	1595	1396	0	0
g0033.t2	1617	1418	0	0
g0034.t1	1208	1009	1.2131	0.271017
g0034.t2	1205	1006	22.7869	5.10596
g0034.t3	1222	1023	1.54596e-06	3.40653e-07
g0035.t1	573	374	6	3.61635
g0036.t1	1080	881	351	89.8094
g0037.t1	3126	2927	13	1.00118
g0038.t1	738	539	0	0
g0039.t1	2025	1826	82	10.1229
g0040.t1	1461	1262	78	13.9324
g0041.t1	1248	1049	3.03974e-05	6.53208e-06
