target_id	length	eff_length	est_counts	tpm
g0001.t1	1161	962	805.661	132.368
g0002.t1	2483	2284	0	0
g0002.t2	2417	2218	225	16.0334
g0003.t1	4457	4258	0	0
g0004.t1	1242	1043	82	12.4261
g0005.t1	636	437	21	7.59526
g0006.t1	4182	3983	36	1.42856
g0007.t1	1653	1454	3	0.326108
g0008.t1	444	245	0	0
g0009.t1	744	545	0	0
g0010.t1	2418	2219	0	0
g0010.t2	2367	2168	22	1.60387
g0011.t1	1588	1389	1.00576	0.114445
g0012.t1	1981	1782	446.994	39.646
g0013.t1	895	696	1173	266.375
g0014.t1	6553	6354	278	6.91516
g0015.t1	3177	2978	23.9999	1.27377
g0015.t2	3255	3056	0	0
g0015.t3	3212	3013	6.43394e-05	3.37507e-06
g0016.t1	1570	1371	0	0
g0017.t1	3001	2802	1.01555	0.0572849
g0018.t1	417	218	40	29.0007
g0019.t1	417	218	0	0
g0020.t2	1969	1770	0	0
g0020.t1	2661	2462	68	4.36542
g0021.t1	1690	1491	240	25.4413
g0022.t1	1170	971	82	13.3475
g0023.t1	2373	2174	0	0
g0024.t1	3304	3105	0	0
g0024.t2	3136	2937	0	0
g0024.t3	2912	2713	216.61	12.6193
g0025.t1	3781	3582	135.39	5.97399
g0026.t1	4960	4761	17	0.564359
g0027.t1	462	263	0	0
g0028.t2	1485	1286	0	0
g0028.t1	1485	1286	0	0
g0029.t1	1737	1538	0	0
g0030.t1	1018	819	84	16.2106
g0031.t1	1632	1433	62.3043	6.8719
g0031.t2	1563	1364	1451.7	168.216
g0032.t1	1840	1641	0	0
g0033.t1	1595	1396	0	0
g0033.t2	1617	1418	0	0
g0034.t1	1208	1009	0.109899	0.0172151
g0034.t2	1205	1006	2.8901	0.454067
g0034.t3	1222	1023	2.95155e-08	4.56015e-09
g0035.t1	573	374	1	0.422604
g0036.t1	1080	881	660	118.406
g0037.t1	3126	2927	15	0.809978
g0038.t1	738	539	0	0
g0039.t1	2025	1826	78	6.75148
g0040.t1	1461	1262	61	7.63968
g0041.t1	1248	1049	2.38972e-05	3.60062e-06
g0041.t3	1339	1140	0	0
g0041.t2	1255	1056	1.6101e-08	2.40986e-09
g0041.t4	1234	1035	61	9.31524
g0042.t1	5455	5256	106	3.18754
g0043.t1	2361	2162	221	16.1563
g0044.t1	2161	1962	36	2.90007
g0045.t1	1350	1151	0	0
g0046.t1	1879	1680	67	6.30334
g0047.t1	2607	2408	163	10.6988
g0048.t1	1474	1275	6.02591	0.746994
g0049.t1	2245	2046	0	0
g0050.t1	1125	926	0	0
g0051.t1	642	443	0	0
g0052.t1	861	662	0	0
g0053.t1	1912	1713	0	0
g0054.t1	1613	1414	8	0.894222
g0055.t1	1648	1449	21	2.29063
g0056.t1	2652	2453	0	0
g0056.t4	2237	2038	20	1.55107
g0056.t6	2370	2171	0	0
g0056.t2	2634	2435	0	0
g0056.t5	2331	2132	0	0
g0056.t3	2352	2153	0	0
g0057.t1	2211	2012	0	0
g0057.t2	2073	1874	131	11.0486
g0058.t1	2406	2207	5	0.358074
g0059.t1	7159	6960	0.896458	0.0203575
g0059.t2	7122	6923	312.104	7.1254
g0060.t1	141	11.8758	0	0
g0061.t1	1041	842	0	0
g0062.t1	2276	2077	365	27.7755
g0063.t1	3614	3415	346.987	16.0593
g0064.t1	2588	2389	203	13.4303
g0065.t1	3381	3182	0.0019759	9.81453e-05
g0065.t2	3351	3152	64.998	3.25926
g0066.t1	2737	2538	40	2.491
g0066.t3	2651	2452	0	0
g0066.t2	2061	1862	0	0
g0067.t1	600	401	0	0
g0068.t1	828	629	0	0
g0069.t1	1241	1042	0	0
g0069.t2	1214	1015	0	0
g0070.t1	348	149	0	0
g0071.t1	2357	2158	739	54.125
g0072.t1	1773	1574	0	0
g0072.t5	1777	1578	0	0
g0072.t4	1986	1787	0	0
g0072.t7	1354	1155	2.05267	0.280893
g0072.t3	1358	1159	0.0461025	0.00628704
g0072.t2	1752	1553	3.68269	0.374799
g0072.t6	1756	1557	0.218538	0.0221842
g0073.t1	2528	2329	0.165428	0.0112265
g0073.t3	2662	2463	0	0
g0073.t4	2594	2395	56.2934	3.71499
g0073.t2	2509	2310	18.5411	1.26861
g0074.t1	330	131.001	0	0
g0075.t1	1573	1374	0	0
g0075.t2	1456	1257	0	0
g0075.t3	1571	1372	0	0
g0076.t1	676	477	0	0
g0077.t1	252	55.6961	0	0
g0078.t1	2803	2604	0	0
g0078.t2	2649	2450	1.08351	0.0698989
g0078.t3	2814	2615	0	0
g0079.t1	303	104.031	0	0
g0080.t1	1920	1721	0	0
g0081.t1	1184	985	31	4.97428
g0082.t1	2136	1937	173	14.1163
g0083.t1	1655	1456	0.00822395	0.000892737
g0083.t2	1644	1445	33.9918	3.71801
g0084.t1	1328	1129	0	0
g0085.t1	1056	857	0	0
g0086.t1	2370	2171	0	0
g0087.t1	1166	967	0	0
g0088.t1	1852	1653	25	2.39041
g0089.t1	753	554	0	0
g0090.t1	3312	3113	26.5556	1.34829
g0091.t1	2431	2232	0	0
g0091.t2	2351	2152	0	0
g0091.t4	2481	2282	0	0
g0091.t3	2403	2204	0	0
g0091.t6	2267	2068	2	0.152857
g0091.t5	2344	2145	0	0
g0091.t8	2936	2737	0	0
g0091.t7	2858	2659	0	0
g0092.t1	789	590	0	0
g0093.t1	2103	1904	22	1.82625
g0094.t1	3502	3303	0	0
g0094.t2	2988	2789	0	0
g0094.t3	2996	2797	0	0
g0094.t4	3114	2915	0	0
g0094.t5	3173	2974	14	0.744033
g0095.t1	1224	1025	121	18.6581
g0096.t1	1493	1294	0	0
g0096.t6	1409	1210	0	0
g0096.t2	1438	1239	0	0
g0096.t3	1343	1144	8.80923	1.21707
g0096.t4	1531	1332	0	0
g0096.t5	1347	1148	0.190774	0.0262653
g0097.t1	1232	1033	566	86.6006
g0098.t1	642	443	0	0
g0099.t1	3195	2996	0	0
g0100.t1	2931	2732	122.59	7.09216
g0100.t2	2775	2576	73.4103	4.50418
g0101.t1	1150	951	449	74.6227
g0102.t1	660	461	0	0
g0103.t1	2536	2337	16	1.0821
g0104.t1	1121	922	9	1.54282
g0105.t1	861	662	0	0
g0105.t2	741	542	0	0
g0106.t1	978	779	0	0
g0107.t1	1227	1028	0	0
g0108.t1	3412	3213	15	0.737879
g0109.t1	477	278	0	0
g0110.t1	1842	1643	2	0.192397
g0111.t1	573	374	0	0
g0112.t1	144	12.2368	0	0
g0113.t1	1316	1117	12.6725	1.79313
g0114.t1	799	600	0	0
g0115.t1	685	486	0	0
g0116.t1	1670	1471	72	7.73615
g0117.t1	336	137	0	0
g0118.t1	555	356	0	0
g0119.t1	5574	5375	53.4376	1.57135
g0120.t1	1798	1599	0	0
g0120.t2	1759	1560	14	1.41843
g0121.t1	7008	6809	89.5624	2.07897
g0122.t1	624	425	0	0
g0123.t1	1712	1513	0	0
g0124.t1	744	545	0	0
g0125.t1	2256	2057	2.39436	0.183976
g0125.t2	2253	2054	11.8894	0.91488
g0125.t3	1822	1623	83.7163	8.1526
g0126.t1	2774	2575	0	0
g0126.t2	2768	2569	11.3505	0.698323
g0126.t3	2089	1890	31.6495	2.64673
g0127.t1	2926	2727	24	1.39101
g0128.t1	5098	4899	3661	118.113
g0129.t1	918	719	0	0
g0130.t1	1052	853	70	12.9704
g0131.t1	1686	1487	5	0.531452
g0132.t1	2973	2774	316	18.0047
g0133.t1	1391	1192	3	0.397786
g0134.t1	2906	2707	397	23.1797
g0135.t1	348	149	1	1.06076
g0136.t1	3967	3768	0	0
g0136.t2	3745	3546	18	0.802303
