target_id	length	eff_length	est_counts	tpm
g0001.t1	1161	962	573	122.576
g0002.t1	2483	2284	0	0
g0002.t2	2417	2218	132	12.2472
g0003.t1	4457	4258	0	0
g0004.t1	1242	1043	27	5.32728
g0005.t1	636	437	11	5.18009
g0006.t1	4182	3983	20	1.03335
g0007.t1	1653	1454	4	0.566137
g0008.t1	444	245	0	0
g0009.t1	744	545	0	0
g0010.t1	2418	2219	0	0
g0010.t2	2367	2168	14	1.32891
g0011.t1	1588	1389	3	0.444473
g0012.t1	1981	1782	308	35.5688
g0013.t1	895	696	555	164.101
g0014.t1	6553	6354	171	5.53828
g0015.t1	3177	2978	14.9999	1.03655
g0015.t2	3255	3056	0	0
g0015.t3	3212	3013	8.59397e-05	5.86977e-06
g0016.t1	1570	1371	0	0
g0017.t1	3001	2802	0	0
g0018.t1	417	218	45	42.4798
g0019.t1	417	218	1	0.943995
g0020.t2	1969	1770	0	0
g0020.t1	2661	2462	35	2.92554
g0021.t1	1690	1491	177	24.4299
g0022.t1	1170	971	14	2.96712
g0023.t1	2373	2174	1	0.09466
g0024.t1	3304	3105	0	0
g0024.t2	3136	2937	0	0
g0024.t3	2912	2713	96.0179	7.28331
g0025.t1	3781	3582	68.9821	3.96312
g0026.t1	4960	4761	10	0.432243
g0027.t1	462	263	0	0
g0028.t2	1485	1286	0	0
g0028.t1	1485	1286	0	0
g0029.t1	1737	1538	0	0
g0030.t1	1018	819	26	6.53304
g0031.t1	1632	1433	0	0
g0031.t2	1563	1364	1467	221.331
g0032.t1	1840	1641	0	0
g0033.t1	1595	1396	0	0
g0033.t2	1617	1418	0	0
g0034.t1	1208	1009	0.088222	0.0179933
g0034.t2	1205	1006	1.91178	0.39108
g0034.t3	1222	1023	5.80259e-08	1.16727e-08
g0035.t1	573	374	3	1.65073
g0036.t1	1080	881	407	95.0703
g0037.t1	3126	2927	2	0.140616
g0038.t1	738	539	0	0
g0039.t1	2025	1826	28	3.15561
g0040.t1	1461	1262	61	9.9471
g0041.t1	1248	1049	2.53318e-05	4.96954e-06
g0041.t3	1339	1140	0	0
g0041.t2	1255	1056	2.62977e-08	5.12483e-09
g0041.t4	1234	1035	27	5.36845
g0042.t1	5455	5256	62	2.42752
g0043.t1	2361	2162	170	16.1815
g0044.t1	2161	1962	11	1.15377
g0045.t1	1350	1151	0	0
g0046.t1	1879	1680	34	4.16482
g0047.t1	2607	2408	58	4.95676
g0048.t1	1474	1275	1	0.161405
g0049.t1	2245	2046	0	0
g0050.t1	1125	926	0	0
g0051.t1	642	443	0	0
g0052.t1	861	662	0	0
g0053.t1	1912	1713	0	0
g0054.t1	1613	1414	15	2.18307
g0055.t1	1648	1449	15	2.13034
g0056.t1	2652	2453	0	0
g0056.t4	2237	2038	19	1.91856
g0056.t6	2370	2171	0	0
g0056.t2	2634	2435	0	0
g0056.t5	2331	2132	0	0
g0056.t3	2352	2153	0	0
g0057.t1	2211	2012	0	0
g0057.t2	2073	1874	62	6.80845
