target_id	length	eff_length	est_counts	tpm
g0001.t1	1161	962	271	100.884
g0002.t1	2483	2284	0	0
g0002.t2	2417	2218	348.758	56.3105
g0003.t1	4457	4258	6.2423	0.525008
g0004.t1	1242	1043	8	2.74684
g0005.t1	636	437	13	10.6534
g0006.t1	4182	3983	4	0.359647
g0007.t1	1653	1454	5	1.23149
g0008.t1	444	245	0	0
g0009.t1	744	545	0	0
g0010.t1	2418	2219	0	0
g0010.t2	2367	2168	16.0031	2.64346
g0011.t1	1588	1389	129.764	33.4565
g0012.t1	1981	1782	250.236	50.2885
g0013.t1	895	696	646	332.392
g0014.t1	6553	6354	132	7.43967
g0015.t1	3177	2978	16	1.92408
g0015.t2	3255	3056	0	0
g0015.t3	3212	3013	0	0
g0016.t1	1570	1371	3	0.783629
g0017.t1	3001	2802	0	0
g0018.t1	417	218	37	60.7816
g0019.t1	417	218	4.34631	7.13988
g0020.t2	1969	1770	0	0
g0020.t1	2661	2462	92.6537	13.4773
g0021.t1	1690	1491	125	30.0234
g0022.t1	1170	971	71	26.1858
g0023.t1	2373	2174	0	0
g0024.t1	3304	3105	0	0
g0024.t2	3136	2937	0	0
g0024.t3	2912	2713	302.207	39.8916
g0025.t1	3781	3582	58.7929	5.87795
g0026.t1	4960	4761	12	0.90263
g0027.t1	462	263	0	0
g0028.t2	1485	1286	0	0
g0028.t1	1485	1286	0	0
g0029.t1	1737	1538	0	0
g0030.t1	1018	819	229	100.133
g0031.t1	1632	1433	0	0
g0031.t2	1563	1364	500	131.275
g0032.t1	1840	1641	0	0
g0033.t1	1595	1396	0	0
g0033.t2	1617	1418	0	0
g0034.t1	1208	1009	0.674974	0.239565
g0034.t2	1205	1006	14.325	5.09946
g0034.t3	1222	1023	4.88904e-07	1.71149e-07
g0035.t1	573	374	10	9.57536
g0036.t1	1080	881	196	79.6723
g0037.t1	3126	2927	51	6.23985
g0038.t1	738	539	0	0
g0039.t1	2025	1826	54	10.5906
g0040.t1	1461	1262	64	18.1613
g0041.t1	1248	1049	1.75225e-05	5.98202e-06
g0041.t3	1339	1140	0	0
g0041.t2	1255	1056	1.90576e-08	6.46294e-09
g0041.t4	1234	1035	17	5.88214
g0042.t1	5455	5256	48	3.27049
g0043.t1	2361	2162	203	33.6254
g0044.t1	2161	1962	32	5.84087
g0045.t1	1350	1151	5	1.55568
g0046.t1	1879	1680	135	28.7774
g0047.t1	2607	2408	217	32.2723
g0048.t1	1474	1275	0	0
g0049.t1	2245	2046	0	0
g0050.t1	1125	926	0	0
g0051.t1	642	443	0	0
g0052.t1	861	662	0	0
g0053.t1	1912	1713	0	0
g0054.t1	1613	1414	64	16.209
g0055.t1	1648	1449	15	3.70723
g0056.t1	2652	2453	0	0
g0056.t4	2237	2038	10	1.75721
g0056.t6	2370	2171	0	0
g0056.t2	2634	2435	0	0
g0056.t5	2331	2132	0	0
g0056.t3	2352	2153	0	0
g0057.t1	2211	2012	0	0
g0057.t2	2073	1874	68	12.9947
g0058.t1	2406	2207	42	6.81513
g0059.t1	7159	6960	1.09157	0.0561653
g0059.t2	7122	6923	258.908	13.393
g0060.t1	141	11.8758	0	0
g0061.t1	1041	842	0	0
g0062.t1	2276	2077	37	6.37958
