target_id	length	eff_length	est_counts	tpm
g0001.t1	1161	962	1561	325.94
g0002.t1	2483	2284	0	0
g0002.t2	2417	2218	195.738	17.7265
g0003.t1	4457	4258	6.26176	0.295393
g0004.t1	1242	1043	37	7.12569
g0005.t1	636	437	16	7.35442
g0006.t1	4182	3983	29	1.46251
g0007.t1	1653	1454	2	0.276296
g0008.t1	444	245	0	0
g0009.t1	744	545	0	0
g0010.t1	2418	2219	0	0
g0010.t2	2367	2168	65.0032	6.02261
g0011.t1	1588	1389	4.01099	0.580041
g0012.t1	1981	1782	1867.99	210.56
g0013.t1	895	696	1014	292.643
g0014.t1	6553	6354	198	6.25933
g0015.t1	3177	2978	11.9999	0.809399
g0015.t2	3255	3056	0	0
g0015.t3	3212	3013	0.000102285	6.81906e-06
g0016.t1	1570	1371	0	0
g0017.t1	3001	2802	0	0
g0018.t1	417	218	12	11.0569
g0019.t1	417	218	0	0
g0020.t2	1969	1770	0	0
g0020.t1	2661	2462	82	6.69014
g0021.t1	1690	1491	391	52.6755
g0022.t1	1170	971	262	54.1991
g0023.t1	2373	2174	0	0
g0024.t1	3304	3105	0	0
g0024.t2	3136	2937	0	0
g0024.t3	2912	2713	246.238	18.2312
g0025.t1	3781	3582	38.7625	2.17368
g0026.t1	4960	4761	56	2.36265
g0027.t1	462	263	0	0
g0028.t2	1485	1286	0	0
g0028.t1	1485	1286	0	0
g0029.t1	1737	1538	0	0
g0030.t1	1018	819	579	142.005
g0031.t1	1632	1433	20.7681	2.91112
g0031.t2	1563	1364	1676.23	246.848
g0032.t1	1840	1641	0	0
g0033.t1	1595	1396	0	0
g0033.t2	1617	1418	0	0
g0034.t1	1208	1009	0.145747	0.0290147
g0034.t2	1205	1006	2.85425	0.569907
g0034.t3	1222	1023	1.5315e-07	3.00712e-08
g0035.t1	573	374	9	4.83371
g0036.t1	1080	881	422	96.2158
g0037.t1	3126	2927	15	1.02939
g0038.t1	738	539	0	0
g0039.t1	2025	1826	237	26.071
g0040.t1	1461	1262	69	10.9825
g0041.t1	1248	1049	4e-05	7.65939e-06
g0041.t3	1339	1140	0	0
g0041.t2	1255	1056	5.20617e-08	9.90294e-09
g0041.t4	1234	1035	27	5.24001
g0042.t1	5455	5256	54	2.06371
g0043.t1	2361	2162	215	19.9753
g0044.t1	2161	1962	16	1.63806
g0045.t1	1350	1151	0	0
g0046.t1	1879	1680	76	9.08686
g0047.t1	2607	2408	7	0.583917
g0048.t1	1474	1275	0	0
g0049.t1	2245	2046	2	0.196351
g0050.t1	1125	926	0	0
g0051.t1	642	443	0	0
g0052.t1	861	662	0	0
g0053.t1	1912	1713	0	0
g0054.t1	1613	1414	2	0.284112
g0055.t1	1648	1449	94	13.0307
g0056.t1	2652	2453	0	0
g0056.t4	2237	2038	52	5.12518
g0056.t6	2370	2171	0	0
g0056.t2	2634	2435	0	0
g0056.t5	2331	2132	0	0
g0056.t3	2352	2153	0	0
g0057.t1	2211	2012	0	0
g0057.t2	2073	1874	131	14.0414
g0058.t1	2406	2207	6	0.546083
g0059.t1	7159	6960	1.72484	0.0497792
g0059.t2	7122	6923	354.275	10.2791
g0060.t1	141	11.8758	0	0
g0061.t1	1041	842	0	0
g0062.t1	2276	2077	267	25.8217
g0063.t1	3614	3415	267	15.7047
g0064.t1	2588	2389	277	23.2902
g0065.t1	3381	3182	0.00496928	0.000313692
g0065.t2	3351	3152	63.995	4.07821
g0066.t1	2737	2538	28	2.21603
g0066.t3	2651	2452	0	0
g0066.t2	2061	1862	0	0
g0067.t1	600	401	1	0.500916
g0068.t1	828	629	0	0
g0069.t1	1241	1042	0	0
g0069.t2	1214	1015	0	0
g0070.t1	348	149	0	0
g0071.t1	2357	2158	313	29.1342
