target_id	length	eff_length	est_counts	tpm
g0001.t1	1161	962	1008	168.639
g0002.t1	2483	2284	30.085	2.11996
g0002.t2	2417	2218	160.487	11.6453
g0003.t1	4457	4258	8.42848	0.318578
g0004.t1	1242	1043	82	12.6533
g0005.t1	636	437	24	8.83899
g0006.t1	4182	3983	47	1.89916
g0007.t1	1653	1454	7	0.77483
g0008.t1	444	245	0	0
g0009.t1	744	545	0	0
g0010.t1	2418	2219	0	0
g0010.t2	2367	2168	29	2.15284
g0011.t1	1588	1389	2.00214	0.231988
g0012.t1	1981	1782	1197	108.108
g0013.t1	895	696	999	231.009
g0014.t1	6553	6354	192	4.86325
g0015.t1	3177	2978	24.9998	1.35109
g0015.t2	3255	3056	0	0
g0015.t3	3212	3013	0.000239506	1.27935e-05
g0016.t1	1570	1371	0	0
g0017.t1	3001	2802	0	0
g0018.t1	417	218	88	64.9679
g0019.t1	417	218	1	0.738272
g0020.t2	1969	1770	0	0
g0020.t1	2661	2462	73	4.77208
g0021.t1	1690	1491	192	20.7251
g0022.t1	1170	971	203	33.6473
g0023.t1	2373	2174	0	0
g0024.t1	3304	3105	0	0
g0024.t2	3136	2937	0	0
g0024.t3	2912	2713	603.151	35.7807
g0025.t1	3781	3582	79.8489	3.5877
g0026.t1	4960	4761	32	1.08174
g0027.t1	462	263	0	0
g0028.t2	1485	1286	0	0
g0028.t1	1485	1286	0	0
g0029.t1	1737	1538	0	0
g0030.t1	1018	819	405	79.5873
g0031.t1	1632	1433	62.3043	6.99754
g0031.t2	1563	1364	1451.7	171.291
g0032.t1	1840	1641	1	0.0980764
g0033.t1	1595	1396	0	0
g0033.t2	1617	1418	0	0
g0034.t1	1208	1009	0	0
g0034.t2	1205	1006	31	4.95949
g0034.t3	1222	1023	0	0
g0035.t1	573	374	13	5.59429
g0036.t1	1080	881	481	87.8703
g0037.t1	3126	2927	14	0.769801
g0038.t1	738	539	0	0
g0039.t1	2025	1826	101	8.90212
g0040.t1	1461	1262	91	11.6053
g0041.t1	1248	1049	6.26973e-05	9.61937e-06
g0041.t3	1339	1140	0	0
g0041.t2	1255	1056	8.72151e-08	1.32923e-08
g0041.t4	1234	1035	36.9999	5.75352
g0042.t1	5455	5256	75	2.29657
g0043.t1	2361	2162	248	18.4616
g0044.t1	2161	1962	36	2.95309
g0045.t1	1350	1151	2	0.279658
g0046.t1	1879	1680	60	5.74798
g0047.t1	2607	2408	77	5.14644
g0048.t1	1474	1275	1.00112	0.126371
g0049.t1	2245	2046	0	0
g0050.t1	1125	926	0	0
g0051.t1	642	443	0	0
g0052.t1	861	662	0	0
g0053.t1	1912	1713	0	0
g0054.t1	1613	1414	7	0.796749
g0055.t1	1648	1449	58	6.44218
g0056.t1	2652	2453	0	0
g0056.t4	2237	2038	19	1.50045
g0056.t6	2370	2171	0	0
g0056.t2	2634	2435	0	0
g0056.t5	2331	2132	0	0
g0056.t3	2352	2153	0	0
g0057.t1	2211	2012	14.5797	1.16626
g0057.t2	2073	1874	111.42	9.56902
g0058.t1	2406	2207	6	0.437544
g0059.t1	7159	6960	1.6553	0.0382772
g0059.t2	7122	6923	322.345	7.49375
g0060.t1	141	11.8758	0	0
g0061.t1	1041	842	0	0
g0062.t1	2276	2077	260	20.147
g0063.t1	3614	3415	308	14.5155
g0064.t1	2588	2389	277	18.6611
g0065.t1	3381	3182	0.00512155	0.000259044
g0065.t2	3351	3152	59.9949	3.06338
g0066.t1	2737	2538	36	2.28288
g0066.t3	2651	2452	0	0
g0066.t2	2061	1862	0	0
g0067.t1	600	401	0	0
g0068.t1	828	629	1	0.255872
g0069.t1	1241	1042	0	0
g0069.t2	1214	1015	0	0
g0070.t1	348	149	0	0
g0071.t1	2357	2158	312	23.2689
g0072.t1	1773	1574	0	0
g0072.t5	1777	1578	0	0
g0072.t4	1986	1787	0	0
g0072.t7	1354	1155	3.8732	0.53971
g0072.t3	1358	1159	0.126804	0.0176085
g0072.t2	1752	1553	0	0
g0072.t6	1756	1557	0	0
g0073.t1	2528	2329	0	0
g0073.t3	2662	2463	71.8002	4.69174
g0073.t4	2594	2395	7.1998	0.483824
g0073.t2	2509	2310	8.64447e-06	6.02281e-07
g0074.t1	330	131.001	0	0
g0075.t1	1573	1374	0	0
g0075.t2	1456	1257	1	0.128038
g0075.t3	1571	1372	0	0
g0076.t1	676	477	0	0
g0077.t1	252	55.6961	0	0
g0078.t1	2803	2604	0	0
g0078.t2	2649	2450	1.16005	0.0762047
g0078.t3	2814	2615	0	0
g0079.t1	303	104.031	2	3.09414
g0080.t1	1920	1721	21.0448	1.96806
g0081.t1	1184	985	423.955	69.2718
g0082.t1	2136	1937	179	14.8729
g0083.t1	1655	1456	0.0475291	0.00525377
g0083.t2	1644	1445	85.9525	9.57334
g0084.t1	1328	1129	0	0
